player_id,game_mode,region,snapshot_time,rating
2827,0,NA,2026-08-05 03:37:31.133359+00,20013
73,0,NA,2026-08-05 03:37:31.133386+00,19577
3278,0,NA,2026-08-05 03:37:31.133391+00,18007
3289,0,NA,2026-08-05 03:37:31.133395+00,17113
36,0,NA,2026-08-05 03:37:31.133398+00,16893
3251,0,NA,2026-08-05 03:37:31.133401+00,16511
214242296,0,NA,2026-08-05 03:37:31.133404+00,16154
3164,0,NA,2026-08-05 03:37:31.133408+00,16077
3173662,0,NA,2026-08-05 03:37:31.133411+00,15742
72256497,0,NA,2026-08-05 03:37:31.133415+00,15734
150,0,NA,2026-08-05 03:37:31.133418+00,15628
3068,0,NA,2026-08-05 03:37:31.13342+00,15613
206112057,0,NA,2026-08-05 03:37:31.133424+00,15583
74443142,0,NA,2026-08-05 03:37:31.133427+00,15491
3173,0,NA,2026-08-05 03:37:31.13343+00,15318
3311,0,NA,2026-08-05 03:37:31.133433+00,15290
274493837,0,NA,2026-08-05 03:37:31.133437+00,15091
9583,0,NA,2026-08-05 03:37:31.13344+00,15085
9593,0,NA,2026-08-05 03:37:31.133443+00,15083
273548389,0,NA,2026-08-05 03:37:31.133447+00,15070
165931368,0,NA,2026-08-05 03:37:31.13345+00,15012
79,0,NA,2026-08-05 03:37:31.133453+00,14901
3112,0,NA,2026-08-05 03:37:31.133457+00,14807
402708915,0,NA,2026-08-05 03:37:31.13346+00,14732
279688111,0,NA,2026-08-05 03:37:31.133463+00,14555
99,0,NA,2026-08-05 03:37:33.27374+00,14402
3208,0,NA,2026-08-05 03:37:33.273765+00,14195
3149,0,NA,2026-08-05 03:37:33.27377+00,14130
2807,0,NA,2026-08-05 03:37:33.273773+00,14100
2974,0,NA,2026-08-05 03:37:33.273776+00,14072
3174068,0,NA,2026-08-05 03:37:33.273779+00,14041
8013,0,NA,2026-08-05 03:37:33.273782+00,14002
5010923,0,NA,2026-08-05 03:37:33.273785+00,13970
176492173,0,NA,2026-08-05 03:37:33.273789+00,13957
8141,0,NA,2026-08-05 03:37:33.273792+00,13848
9966,0,NA,2026-08-05 03:37:33.273795+00,13780
51897079,0,NA,2026-08-05 03:37:33.273797+00,13708
140,0,NA,2026-08-05 03:37:33.273802+00,13700
155292439,0,NA,2026-08-05 03:37:33.273805+00,13622
165408714,0,NA,2026-08-05 03:37:33.273808+00,13453
10180,0,NA,2026-08-05 03:37:33.273811+00,13443
2924,0,NA,2026-08-05 03:37:33.273814+00,13434
10102,0,NA,2026-08-05 03:37:33.273817+00,13372
5010554,0,NA,2026-08-05 03:37:33.27382+00,13355
2832,0,NA,2026-08-05 03:37:33.273823+00,13353
3130,0,NA,2026-08-05 03:37:33.273826+00,13287
394412122,0,NA,2026-08-05 03:37:33.273829+00,13240
6993178,0,NA,2026-08-05 03:37:33.273832+00,13227
141074875,0,NA,2026-08-05 03:37:33.273834+00,13193
270477972,0,NA,2026-08-05 03:37:33.273837+00,13185
23225876,0,NA,2026-08-05 03:37:34.338239+00,13168
160817716,0,NA,2026-08-05 03:37:34.338261+00,13150
175874742,0,NA,2026-08-05 03:37:34.338265+00,13125
3154,0,NA,2026-08-05 03:37:34.338269+00,13104
213752815,0,NA,2026-08-05 03:37:34.338271+00,13041
333118258,0,NA,2026-08-05 03:37:34.338274+00,13020
134490256,0,NA,2026-08-05 03:37:34.338277+00,13013
38097290,0,NA,2026-08-05 03:37:34.33828+00,12972
294600692,0,NA,2026-08-05 03:37:34.338283+00,12913
3082,0,NA,2026-08-05 03:37:34.338286+00,12912
7886,0,NA,2026-08-05 03:37:34.338289+00,12906
25,0,NA,2026-08-05 03:37:34.338292+00,12894
8212,0,NA,2026-08-05 03:37:34.338295+00,12867
3283,0,NA,2026-08-05 03:37:34.338298+00,12864
152001494,0,NA,2026-08-05 03:37:34.338301+00,12862
2898,0,NA,2026-08-05 03:37:34.338304+00,12862
2960,0,NA,2026-08-05 03:37:34.338307+00,12763
48375072,0,NA,2026-08-05 03:37:34.338309+00,12720
113296149,0,NA,2026-08-05 03:37:34.338312+00,12719
9148,0,NA,2026-08-05 03:37:34.338315+00,12711
7,0,NA,2026-08-05 03:37:34.338318+00,12673
